rank,country,scenario_label,value_eur_per_forest_ha,benefit_tco2e_per_forest_ha,marginal_climate_benefit_tco2e_per_changed_m3,delta_biodiversity_pressure_proxy
1,Netherlands,Material Cascade,87.04067664281065,0.8704067664281065,0.7199999999999998,0.0
2,Netherlands,Conservation Priority,57.97138434258097,0.5797138434258097,0.5000043082142335,-0.1334487003124124
3,Belgium,Conservation Priority,57.56838108414017,0.5756838108414017,0.49372875484973755,-0.4230833824846023
4,Denmark,Material Cascade,46.33203765278884,0.4633203765278884,0.7200000000000001,0.0
5,Czechia,Conservation Priority,41.24054335918274,0.4124054335918274,0.45691381581661394,-0.14186105120653614
6,Germany,Conservation Priority,39.985768489866,0.39985768489865997,0.4319152839746333,-0.46288901983165776
7,Denmark,Conservation Priority,34.440613984578384,0.34440613984578383,0.3828169128407393,-0.2961799125483786
8,Austria,Conservation Priority,30.03836086883324,0.3003836086883324,0.38999770402148626,-0.510203011698799
9,Germany,Material Cascade,29.53073042538728,0.2953073042538728,0.7199999999999992,0.0
10,Latvia,Conservation Priority,24.19503032169461,0.24195030321694608,0.3477646428037802,-0.5832826949489962
11,Estonia,Material Cascade,23.91043515301854,0.23910435153018542,0.7199999999999996,0.0
12,Slovenia,Conservation Priority,21.134028073306443,0.21134028073306443,0.37007559336231755,-0.5396157194779816
13,Poland,Conservation Priority,20.725335597940994,0.20725335597940991,0.30821699294757726,-0.14793354850029283
14,Austria,Material Cascade,20.613850275768936,0.20613850275768938,0.72,0.0
15,France,Material Cascade,19.608223386951018,0.19608223386951018,0.72,0.0
16,Croatia,Material Cascade,19.36160585743077,0.1936160585743077,0.7199999999999991,0.0
17,Belgium,Material Cascade,19.172582473304303,0.191725824733043,0.72,0.0
18,Latvia,Material Cascade,18.726191294979703,0.18726191294979705,0.72,0.0
19,Estonia,Conservation Priority,18.178460695664352,0.18178460695664353,0.2979726343627633,-0.54782417707953
20,Hungary,Material Cascade,17.304788554823542,0.17304788554823544,0.7200000000000004,0.0
21,Portugal,Conservation Priority,17.244935389921878,0.17244935389921875,0.2646434216003853,-0.16933362949419528
22,Slovenia,Material Cascade,16.713460694142682,0.16713460694142682,0.7200000000000001,0.0
23,Italy,Material Cascade,16.58771429209084,0.1658771429209084,0.72,0.0
24,Czechia,Material Cascade,15.80957787599854,0.1580957787599854,0.72,0.0
25,Lithuania,Conservation Priority,15.580950764906248,0.15580950764906248,0.3003578517537786,-0.38075919518492674
26,Luxembourg,Conservation Priority,14.518951232404069,0.1451895123240407,0.30748077976526234,-0.3124868557352918
27,Portugal,Material Cascade,14.33623129346528,0.14336231293465282,0.7199999999999949,0.0
28,Lithuania,Material Cascade,13.817692262515191,0.1381769226251519,0.72,0.0
29,Romania,Material Cascade,12.895198369736452,0.12895198369736452,0.720000000000001,0.0
30,Croatia,Conservation Priority,12.44690585280698,0.1244690585280698,0.29568508922691145,-0.4048845862489734
31,Romania,Conservation Priority,11.512869338470107,0.11512869338470107,0.33115837501803347,-0.3116380204643472
32,France,Conservation Priority,10.65906726593466,0.10659067265934659,0.26321834079330525,-0.35135016995105994
33,Hungary,Conservation Priority,9.680127659194381,0.09680127659194382,0.24351261457036288,-0.24672490075904996
34,Finland,Conservation Priority,9.526782833341484,0.09526782833341484,0.22214731405956467,-0.27978154021118207
35,Poland,Material Cascade,9.11909148009662,0.0911909148009662,0.72,0.0
36,Luxembourg,Material Cascade,8.220500563697902,0.08220500563697902,0.7200000000000037,0.0
37,Bulgaria,Material Cascade,6.924475572673846,0.06924475572673847,0.7200000000000017,0.0
38,Finland,Material Cascade,6.268503393514595,0.06268503393514595,0.7199999999999975,0.0
39,Italy,Conservation Priority,4.669051687053581,0.046690516870535805,0.19737763900433566,-0.22084494456966053
40,Ireland,Material Cascade,4.119552357493357,0.04119552357493357,0.72,0.0
41,Bulgaria,Conservation Priority,3.79101243036867,0.0379101243036867,0.22640834060238169,-0.1359167106540896
42,Slovakia,Material Cascade,3.422302278509169,0.034223022785091685,0.7199999999999891,0.0
43,Sweden,Material Cascade,2.8868046108684755,0.028868046108684757,0.72,0.0
44,Spain,Material Cascade,2.7850686994192846,0.02785068699419285,0.7200000000000001,0.0
45,Greece,Material Cascade,2.288904006046865,0.022889040060468647,0.7200000000000004,0.0
46,Spain,Conservation Priority,2.1268113051584585,0.021268113051584582,0.14380968518012935,-0.12609075184189067
47,Cyprus,Material Cascade,0.4013312542183538,0.004013312542183537,0.7200000000000002,0.0
48,Greece,Conservation Priority,0.333511913870273,0.00333511913870273,0.0930533002807407,-0.0345606950413164
49,Cyprus,Conservation Priority,0.05290726556888632,0.0005290726556888632,0.09326221455172672,-0.004587996951877095
50,Cyprus,Bioenergy Push,-0.05290726556888632,-0.0005290726556888632,-0.09326221455172672,0.004587996951877095
51,Greece,Bioenergy Push,-0.3335119138702721,-0.003335119138702721,-0.09305330028074045,0.034560695041316314
52,Spain,Bioenergy Push,-2.126811305158484,-0.02126811305158484,-0.1438096851801311,0.12609075184189067
53,Bulgaria,Bioenergy Push,-3.791012430368664,-0.03791012430368664,-0.22640834060238132,0.1359167106540895
54,Sweden,Conservation Priority,-4.5687284509036905,-0.045687284509036905,-0.12068355607332737,-0.2614136942549927
55,Italy,Bioenergy Push,-4.669051687053581,-0.046690516870535805,-0.19737763900433566,0.22084494456966053
56,Ireland,Conservation Priority,-6.601134641470978,-0.06601134641470978,-0.0933259025822388,-0.09969698099304902
57,Slovakia,Conservation Priority,-6.781190698318728,-0.06781190698318727,-0.10267147439108415,-0.3962835685973176
58,Sweden,Bioenergy Push,-8.254354530409392,-0.08254354530409391,-0.21803984818199143,0.2614136942549925
59,Finland,Bioenergy Push,-9.526782833341468,-0.09526782833341467,-0.22214731405956428,0.2797815402111823
60,Hungary,Bioenergy Push,-9.680127659194385,-0.09680127659194385,-0.24351261457036294,0.24672490075904974
61,France,Bioenergy Push,-10.65906726593466,-0.10659067265934659,-0.26321834079330525,0.35135016995105994
62,Romania,Bioenergy Push,-11.512869338470107,-0.11512869338470107,-0.33115837501803347,0.3116380204643465
63,Croatia,Bioenergy Push,-12.446905852807005,-0.12446905852807004,-0.295685089226912,0.40488458624897383
64,Luxembourg,Bioenergy Push,-14.518951232404062,-0.14518951232404062,-0.30748077976526217,0.3124868557352922
65,Lithuania,Bioenergy Push,-15.580950764906229,-0.1558095076490623,-0.3003578517537782,0.38075919518492674
66,Portugal,Bioenergy Push,-17.244935389921853,-0.1724493538992185,-0.2646434216003849,0.16933362949419517
67,Estonia,Bioenergy Push,-18.17846069566436,-0.18178460695664359,-0.29797263436276333,0.54782417707953
68,Slovenia,Bioenergy Push,-21.134028073306407,-0.21134028073306405,-0.3700755933623169,0.5396157194779825
69,Poland,Bioenergy Push,-23.54460539277366,-0.2354460539277366,-0.35014378609236885,0.14793354850029317
70,Slovakia,Bioenergy Push,-23.6614733190625,-0.236614733190625,-0.3582495257854585,0.3962835685973176
71,Ireland,Bioenergy Push,-23.728196804057504,-0.23728196804057503,-0.3354658711966823,0.09969698099304913
72,Latvia,Bioenergy Push,-24.195030321694663,-0.2419503032169466,-0.347764642803781,0.5832826949489971
73,Austria,Bioenergy Push,-30.038360868833138,-0.3003836086883314,-0.3899977040214849,0.5102030116987994
74,Denmark,Bioenergy Push,-34.440613984578384,-0.34440613984578383,-0.3828169128407393,0.2961799125483786
75,Germany,Bioenergy Push,-39.985768489866,-0.39985768489865997,-0.4319152839746333,0.4628890198316573
76,Czechia,Bioenergy Push,-41.24054335918261,-0.41240543359182613,-0.4569138158166125,0.14186105120653614
77,Belgium,Bioenergy Push,-57.56838108414025,-0.5756838108414025,-0.4937287548497382,0.4230833824846032
78,Netherlands,Bioenergy Push,-57.97138434258102,-0.5797138434258101,-0.5000043082142339,0.1334487003124124
